above;выше
almost;почти
ball;мяч, шар
basketball;баскетбол
handball;гандбол
ruby;рубин
football;футбол
society;общество
attain;достигать
essential;важный
approximately;приблизительно
significant;значительный
perform;исполнять
accurate;точный
itercept;перехватить
obsolete;устаревший
reliable;надежный
solve;решать (проблему)
enhance;улучшать
bargain;торговаться
stumble;спотыкаться
opportunity;возможность
instead of;вместо
supposed;предполагаемый
unexpectedly;неожиданно
perplexing;озадачивать
spot;место
inadvertently;нечаянно
substitute;заменять
attitude;отношение
curiosity;любопытный
piqued;задеть
though;хоть
peek;заглядывать
